Investors,Primary Contact,Description,Geography,Preferred Industry,Preferred Investment Type,Primary Investor Type,geography_tags,preferred_investment_type_tags,preferred_industry_tags
Alumni Ventures,Erin Burke,"Founded in 214, Alumni Ventures is a venture capital firm based in Manchester, New Hampshire. The firm seeks to invest in technology, consumer, financial, food &amp; agriculture, healthcare, industrials, life sciences, marketing, mobility, and real estate sectors. This firm is a Registered Investment Adviser (RIA). ",United States,"Business Products and Services (B2B), Consumer Products and Services (B2C), Energy, Financial Services, Healthcare, Information Technology, Materials and Resources","Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round",Venture Capital,['united states'],['early stage vc' 'later stage vc' 'pe growth/expansion' 'seed round'],"['business products and services (b2b)'
 'consumer products and services (b2c)' 'energy' 'financial services'
 'healthcare' 'information technology' 'materials and resources']"
Kohlberg Kravis Roberts (NYS: KKR),Amy Lesch,"Founded in 1976, Kohlberg Kravis Roberts is a private equity investment firm based in New York, New York. The firm prefers investing in alternative asset classes including real estate, infrastructure, and credit through its strategic partners and hedge funds. The firm prefers to invest in companies operating in the business products, business services, consumer products, consumer services, energy, financial services, semiconductors, infrastructure, healthcare, industrials, software, information technology, media, telecommunications, materials, resources, software-as-a-service, manufacturing, life sciences, oncology, cybersecurity, internet of things, and technology-based sectors across Europe, America, and Asia. This firm is a Registered Investment Adviser (RIA). ","Americas, Asia, Europe","Agriculture, Chemicals and Gases, Commercial Products, Commercial Transportation, Consumer Durables, Consumer Non-Durables, Exploration, Production and Refining, Healthcare Devices and Supplies, Healthcare Services, Insurance, Logistics, Media, Other Financial Services, Pharmaceuticals and Biotechnology, Real Estate Services (B2C), Restaurants, Hotels and Leisure, Retail, Semiconductors, Software, Telecommunications Service Providers","Acquisition Financing, Bridge, Buyout/LBO, Early Stage VC, GP Stakes, Later Stage VC, Management Buyout, Mezzanine, PE Growth/Expansion, PIPE, Recapitalization",PE/Buyout,['americas' 'asia' 'europe'],"['acquisition financing' 'bridge' 'buyout/lbo' 'early stage vc'
 'gp stakes' 'later stage vc' 'management buyout' 'mezzanine'
 'pe growth/expansion' 'pipe' 'recapitalization']","['agriculture' 'chemicals and gases' 'commercial products'
 'commercial transportation' 'consumer durables' 'consumer non-durables'
 'exploration' 'production and refining' 'healthcare devices and supplies'
 'healthcare services' 'insurance' 'logistics' 'media'
 'other financial services' 'pharmaceuticals and biotechnology'
 'real estate services (b2c)' 'restaurants' 'hotels and leisure' 'retail'
 'semiconductors' 'software' 'telecommunications service providers']"
Blackstone (NYS: BX),Gregory Beutler,"Founded in 1985, The Blackstone Group is a private equity investment firm based in New York, New York. The firm seeks to invest in real estate, public debt, private equity, infrastructure, life sciences, growth equity, opportunistic, non-investment grade credit, real assets, and secondary funds. This firm is a Registered Investment Adviser (RIA). ",,"Agriculture, Apparel and Accessories, Capital Markets/Institutions, Chemicals and Gases, Commercial Products, Commercial Services, Commercial Transportation, Communications and Networking, Consumer Non-Durables, Energy Services, Exploration, Production and Refining, Healthcare Services, Insurance, IT Services, Media, Metals, Minerals and Mining, Other Business Products and Services, Other Financial Services, Pharmaceuticals and Biotechnology, Restaurants, Hotels and Leisure, Retail, Services (Non-Financial), Software, Transportation","Buyout/LBO, Debt - General, GP Stakes, Merger/Acquisition, Mezzanine, PE Growth/Expansion",PE/Buyout,[''],"['buyout/lbo' 'debt - general' 'gp stakes' 'merger/acquisition'
 'mezzanine' 'pe growth/expansion']","['agriculture' 'apparel and accessories' 'capital markets/institutions'
 'chemicals and gases' 'commercial products' 'commercial services'
 'commercial transportation' 'communications and networking'
 'consumer non-durables' 'energy services' 'exploration'
 'production and refining' 'healthcare services' 'insurance' 'it services'
 'media' 'metals' 'minerals and mining'
 'other business products and services' 'other financial services'
 'pharmaceuticals and biotechnology' 'restaurants' 'hotels and leisure'
 'retail' 'services (non-financial)' 'software' 'transportation']"
Sequoia Capital,Marie Klemchuk,"Founded in 1972, Sequoia Capital is a venture capital firm based in Menlo Park, California. The firm seeks to invest in early to growth stage companies operating in the information technology, healthcare, manufacturing, mobile, nanotechnology, financial service, internet, energy, media, and retail sectors. This firm is a Registered Investment Adviser (RIA). ","China, Europe, India, Israel, South America, United States","Commercial Services, Communications and Networking, Computer Hardware, Consumer Non-Durables, Energy, Financial Services, Healthcare Devices and Supplies, Healthcare Services, Healthcare Technology Systems, Media, Pharmaceuticals and Biotechnology, Retail, Semiconductors, Software","Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round",Venture Capital,['china' 'europe' 'india' 'israel' 'south america' 'united states'],['early stage vc' 'later stage vc' 'pe growth/expansion' 'seed round'],"['commercial services' 'communications and networking' 'computer hardware'
 'consumer non-durables' 'energy' 'financial services'
 'healthcare devices and supplies' 'healthcare services'
 'healthcare technology systems' 'media'
 'pharmaceuticals and biotechnology' 'retail' 'semiconductors' 'software']"
Enterprise Ireland,Donnchadh Cullinan,"Founded in 1998, Enterprise Ireland is a venture capital firm based in Dublin, Ireland. The firm prefers to invest in climate, sustainability &amp; agritech, high-tech construction &amp; housing, digital technology, engineering, lifesciences, fintech, financial &amp; business services, food &amp; beverage, retail, consumer &amp; online, materials, print &amp; packaging sectors. ",Ireland,"Agriculture, Beverages, Construction and Engineering, Containers and Packaging, Energy, Financial Services, Food Products, Healthcare, IT Services, Logistics, Media, Other Materials, Retail, Software","Early Stage VC, Grant, Later Stage VC, Seed Round",Venture Capital,['ireland'],['early stage vc' 'grant' 'later stage vc' 'seed round'],"['agriculture' 'beverages' 'construction and engineering'
 'containers and packaging' 'energy' 'financial services' 'food products'
 'healthcare' 'it services' 'logistics' 'media' 'other materials' 'retail'
 'software']"
Tech Incubator Program for Startups,Doer Youngil Ahn,"Founded in 213, Tech Incubator Program for Startups is an accelerator/ incubator firm based in Seoul, South Korea. The firm prefers to incubate companies operating in chemical, energy, material, mechanical, information services, electronics, biomedical, and information communication sectors based in South Korea. ",South Korea,"Business Products and Services (B2B), Communications and Networking, Computer Hardware, Consumer Products and Services (B2C), Healthcare, IT Services, Materials and Resources, Semiconductors, Software","Accelerator/Incubator, Early Stage VC, Seed Round",Accelerator/Incubator,['south korea'],['accelerator/incubator' 'early stage vc' 'seed round'],"['business products and services (b2b)' 'communications and networking'
 'computer hardware' 'consumer products and services (b2c)' 'healthcare'
 'it services' 'materials and resources' 'semiconductors' 'software']"
FJ Labs,Jose Marin,"Founded in 215, FJ Labs is a venture capital firm based in New York, New York. The firm seeks to invest in business-to-business, business-to-consumer, financial services, mobile, advertisement technology, e-commerce, food technology, gaming, health technology, real estate technology, restaurant technology, ridesharing, SaaS &amp; virtual reality sectors. ","Bay Area, Europe, India, Mexico, New York, New York Metro, South America","Business Products and Services (B2B), Consumer Products and Services (B2C), Financial Services","Early Stage VC, Seed Round",Venture Capital,"['bay area' 'europe' 'india' 'mexico' 'new york' 'new york metro'
 'south america']",['early stage vc' 'seed round'],"['business products and services (b2b)'
 'consumer products and services (b2c)' 'financial services']"
SOSV,Sean O'Sullivan,"Founded in 1995, SOSV is a global venture capital firm based in Princeton, New Jersey. The firm offers multi-stage investment, starting with pre-seed startup development programs designed for founders with breakthrough technologies that address human and planetary health. This firm is a Registered Investment Adviser (RIA). ",,"Business Equipment and Supplies, Capital Markets/Institutions, Commercial Banks, Computer Hardware, Electronics (B2C), Food Products, Home Furnishings, Household Appliances, Insurance, Media, Media and Information Services (B2B), Other Financial Services, Pharmaceuticals and Biotechnology, Software","Accelerator/Incubator, Early Stage VC, Later Stage VC, Seed Round",Venture Capital,[''],['accelerator/incubator' 'early stage vc' 'later stage vc' 'seed round'],"['business equipment and supplies' 'capital markets/institutions'
 'commercial banks' 'computer hardware' 'electronics (b2c)'
 'food products' 'home furnishings' 'household appliances' 'insurance'
 'media' 'media and information services (b2b)' 'other financial services'
 'pharmaceuticals and biotechnology' 'software']"
Pioneer Fund,Mosh Moshood Somuyiwa,"Founded in 217, Pioneer Fund is a venture capital firm based in San Francisco, California. The firm prefers to invest in consumer products, consumer services, financial services, information technology, advanced manufacturing, blockchain, life sciences, gaming, artificial intelligence, machine learning, construction technology, education technology, financial technology, agriculture technology, advertisement technology, augmented reality, autonomous cars, legal technology, oncology, pet technology, real estate technology, ride-sharing, SaaS &amp; supply chain technology sectors. ","Africa, Americas, Asia, Canada, Europe, Middle East, Oceania, United States","Business Products and Services (B2B), Consumer Products and Services (B2C), Energy, Financial Services, Healthcare, Materials and Resources, Other Information Technology, Software","Early Stage VC, Seed Round",Venture Capital,"['africa' 'americas' 'asia' 'canada' 'europe' 'middle east' 'oceania'
 'united states']",['early stage vc' 'seed round'],"['business products and services (b2b)'
 'consumer products and services (b2c)' 'energy' 'financial services'
 'healthcare' 'materials and resources' 'other information technology'
 'software']"
European Innovation Council Fund,Luuk Borg,"Founded in 22, the European Innovation Council Fund is a venture capital firm based in Brussels, Belgium. The firm seeks to invest in the deep technology sector. ",Europe,Information Technology,"Accelerator/Incubator, Bonds (Convertible), Early Stage VC, Grant, Seed Round",Venture Capital,['europe'],"['accelerator/incubator' 'bonds (convertible)' 'early stage vc' 'grant'
 'seed round']",['information technology']
General Catalyst,Pranav Singhvi,"Founded in 2, General Catalyst is a venture capital firm based in San Francisco, California. The firm seeks to make investments in companies operating in the consumer, enterprise, fintech, crypto, and health assurance sectors. This firm is a Registered Investment Adviser (RIA). ",,"Commercial Transportation, Healthcare, Logistics, Other Business Products and Services, Other Commercial Services, Other Consumer Products and Services, Software, Transportation","Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round",Venture Capital,[''],['early stage vc' 'later stage vc' 'pe growth/expansion' 'seed round'],"['commercial transportation' 'healthcare' 'logistics'
 'other business products and services' 'other commercial services'
 'other consumer products and services' 'software' 'transportation']"
The Carlyle Group (NAS: CG),Daniel Mutzig,"Founded in 1987, The Carlyle Group is a private equity firm based in Washington, District of Columbia. The firm seeks to invest in companies operating in the aerospace, government services, consumer, media, retail, financial services, aviation finance, energy, real estate, healthcare, infrastructure, industrial, technology, and transportation sectors. This firm is a Registered Investment Adviser (RIA). ","Asia, Europe, Middle East, North America, South America, United States","Aerospace and Defense, Buildings and Property, Commercial Transportation, Energy, Financial Services, Government, Healthcare, Media, Retail, Software","Buyout/LBO, PE Growth/Expansion",PE/Buyout,"['asia' 'europe' 'middle east' 'north america' 'south america'
 'united states']",['buyout/lbo' 'pe growth/expansion'],"['aerospace and defense' 'buildings and property'
 'commercial transportation' 'energy' 'financial services' 'government'
 'healthcare' 'media' 'retail' 'software']"
500 Global,Paul Easter Yoo,"Founded in 21, 5 Global is a venture capital firm based in Palo Alto, California. The firm prefers to invest in media, consumer services, computer hardware, software, commercial services, software-as-a-service, mobile, financial technology, big data, internet of things, e-commerce, agricultural technology, and audio technology sectors across the United States, Europe, Southeast Asia, and the Middle East region. This firm is a Registered Investment Adviser (RIA). ","Asia, Europe, Middle East, United States","Commercial Services, Computer Hardware, Media, Services (Non-Financial), Software","Accelerator/Incubator, Early Stage VC, Later Stage VC, Seed Round",Accelerator/Incubator,['asia' 'europe' 'middle east' 'united states'],['accelerator/incubator' 'early stage vc' 'later stage vc' 'seed round'],"['commercial services' 'computer hardware' 'media'
 'services (non-financial)' 'software']"
Soma Capital,Aneel Ranadive,"Founded in 215, Soma Capital is a venture capital firm based in San Francisco, California. The firm seeks to invest in B2B SaaS, artificial intelligence, fintech, clean-tech, frontier-tech, prop-tech, cryptocurrency, health tech, and the consumer sector based in Africa, the Middle East, South America, and Asia. This firm is a Registered Investment Adviser (RIA). ","Africa, Costa Rica, Cuba, Dominica, El Salvador, India, Mexico, Middle East, South America","Agriculture, Business/Productivity Software, Computer Hardware, Education and Training Services (B2B), Educational and Training Services (B2C), Financial Services, Healthcare, IT Services, Logistics, Media, Restaurants, Hotels and Leisure","Early Stage VC, Later Stage VC, Seed Round",Venture Capital,"['africa' 'costa rica' 'cuba' 'dominica' 'el salvador' 'india' 'mexico'
 'middle east' 'south america']",['early stage vc' 'later stage vc' 'seed round'],"['agriculture' 'business/productivity software' 'computer hardware'
 'education and training services (b2b)'
 'educational and training services (b2c)' 'financial services'
 'healthcare' 'it services' 'logistics' 'media' 'restaurants'
 'hotels and leisure']"
Leonard Green &amp,Erika C. Spitzer,"Founded in 1989, Leonard Green &amp; Partners is a private equity firm based in Los Angeles, California. The firm seeks to invest in B2B, commercial services, logistics, retail, non-financial services, healthcare, industrials &amp; supply chain technology sectors. This firm is a Registered Investment Adviser (RIA). ",,"Consumer Durables, Consumer Non-Durables, Distributors/Wholesale, Healthcare Devices and Supplies, Healthcare Services, Healthcare Technology Systems, Logistics, Other Healthcare, Pharmaceuticals and Biotechnology, Retail, Services (Non-Financial)","Buyout/LBO, Debt - General, PE Growth/Expansion, Recapitalization",,[''],['buyout/lbo' 'debt - general' 'pe growth/expansion' 'recapitalization'],"['consumer durables' 'consumer non-durables' 'distributors/wholesale'
 'healthcare devices and supplies' 'healthcare services'
 'healthcare technology systems' 'logistics' 'other healthcare'
 'pharmaceuticals and biotechnology' 'retail' 'services (non-financial)']"
TA Associates Management,Melanie R. Toomey,"Founded in 1968, TA Associates Management is a private equity investment firm based in Boston, Massachusetts. The firm seeks to invest in companies operating in business services, consumer products and services, financial services, technology, and healthcare sectors across North America, Europe, and Asia. This firm is a Registered Investment Adviser (RIA). ","Asia, Europe, North America","Commercial Services, Consumer Products and Services (B2C), Financial Services, Healthcare, Software","Acquisition Financing, Buyout/LBO, Debt - General, PE Growth/Expansion, Subordinated Debt",PE/Buyout,['asia' 'europe' 'north america'],"['acquisition financing' 'buyout/lbo' 'debt - general'
 'pe growth/expansion' 'subordinated debt']","['commercial services' 'consumer products and services (b2c)'
 'financial services' 'healthcare' 'software']"
EQT (STO: EQT),Kim Henriksson,"Founded in 1994, EQT is a private equity firm based in Stockholm, Sweden. The firm seeks to invest in healthcare, technology, services, and industrial Tech sectors. The firm also focuses on real estate sectors such as digital infrastructure, energy &amp; environmental, social, transport &amp; logistics, life sciences, and residential &amp; self-storage. ","Asia, Central America, Europe, North America, Oceania",0,"Buyout/LBO, Early Stage VC, Later Stage VC, Mezzanine, PE Growth/Expansion",PE/Buyout,['asia' 'central america' 'europe' 'north america' 'oceania'],"['buyout/lbo' 'early stage vc' 'later stage vc' 'mezzanine'
 'pe growth/expansion']",['0']
GIC Private,Lim Hock Tay,"GIC is a global investment management firm established in 1981 to manage Singapore's foreign reserves. The firm prefers to invests in the public and private equity with a focus on the health care, financial and business services as well as natural resources, real estate, fixed income, and alternative markets including foreign exchange, commodity and money market sectors across the globe. It also invests through its subsidiaries GIC Asset Management Pte Ltd., GIC Real Estate Pte Ltd., and GIC Special Investments Pte Ltd. ","Central America, East Asia, Mid Atlantic, North America, Northeast, South Asia","Commercial Services, Other Business Products and Services, Other Financial Services, Restaurants, Hotels and Leisure, Software","Buyout/LBO, GP Stakes, Merger/Acquisition, PE Growth/Expansion, Public to Private",Sovereign Wealth Fund,"['central america' 'east asia' 'mid atlantic' 'north america' 'northeast'
 'south asia']","['buyout/lbo' 'gp stakes' 'merger/acquisition' 'pe growth/expansion'
 'public to private']","['commercial services' 'other business products and services'
 'other financial services' 'restaurants' 'hotels and leisure' 'software']"
Ares Capital (NAS: ARCC),Penelope F. Roll,"Founded in 24, Ares Capital Corporation BDC is a private equity firm based in Atlanta, Georgia. The firm prefers to invest in health care services, software &amp; services, commercial &amp; professional services, consumer services, consumer durables &amp; apparel sectors, insurance services, automobiles &amp; components, retailing and distribution, food and beverages, media and entertainment, pharmaceuticals, biotechnology &amp; life sciences, power generation sectors based in the United States. ",United States,"Apparel and Accessories, Commercial Services, Consumer Durables, Energy Services, Exploration, Production and Refining, Healthcare Services, IT Services, Other Consumer Products and Services, Retail, Services (Non-Financial), Software","Acquisition Financing, Add-on, Buyout/LBO, Debt - General, GP Stakes, Loan, Mezzanine, PE Growth/Expansion, PIPE, Recapitalization, Second Lien, Senior Debt, Subordinated Debt, Unsecured Debt",Lender/Debt Provider,['united states'],"['acquisition financing' 'add-on' 'buyout/lbo' 'debt - general'
 'gp stakes' 'loan' 'mezzanine' 'pe growth/expansion' 'pipe'
 'recapitalization' 'second lien' 'senior debt' 'subordinated debt'
 'unsecured debt']","['apparel and accessories' 'commercial services' 'consumer durables'
 'energy services' 'exploration' 'production and refining'
 'healthcare services' 'it services'
 'other consumer products and services' 'retail'
 'services (non-financial)' 'software']"
gener8tor,Troy Vosseller,"Founded in 212, gener8tor is an accelerator headquartered in Milwaukee, Wisconsin. The firm supports start-ups and also makes venture capital investments. The firm supports the growth of startups via capital, mentorship, coaching, and career support through its accelerator programs. ","Canada, Luxembourg, United States","Business Products and Services (B2B), Consumer Products and Services (B2C), Energy, Financial Services, Healthcare, Information Technology, Materials and Resources","Accelerator/Incubator, Early Stage VC, Later Stage VC, Seed Round",Accelerator/Incubator,['canada' 'luxembourg' 'united states'],['accelerator/incubator' 'early stage vc' 'later stage vc' 'seed round'],"['business products and services (b2b)'
 'consumer products and services (b2c)' 'energy' 'financial services'
 'healthcare' 'information technology' 'materials and resources']"
